កករចិត្ត	កករ-ចិត្ត
កម្មសិទ្ធិបញ្ញា	កម្មសិទ្ធិ-បញ្ញា
កម្មសិទ្ធិសមូហភាព	កម្មសិទ្ធិ-សមូហភាព
កម្មសិទ្ធិសាធារណៈ	កម្មសិទ្ធិ-សាធារណៈ
កម្មសិទ្ធិអវិភាគ	កម្មសិទ្ធិ-អវិភាគ
កម្មសិទ្ធិឯកត្តជន	កម្មសិទ្ធិ-ឯកត្តជន
កម្មិកសមាជិក	កម្មិក-សមាជិក
កម្រងកែវ	កម្រង-កែវ
កម្រងកោះ	កម្រង-កោះ
កម្រាប	ក-ម្រាប
កម្រិតជីវភាព	កម្រិត-ជីវភាព
កម្រិតតំប៉ុង	កម្រិត-តំប៉ុង
កម្រិតវប្បធម៌	កម្រិត-វប្បធម៌
កម្រៃក្រៅផ្លូវការ	កម្រៃក្រៅ-ផ្លូវការ
កម្រៃខ្ពស់	កម្រៃ-ខ្ពស់
កម្រៃជើងសា	កម្រៃ-ជើងសា
កម្លាច	កម្លា-ច
កម្លាចិត្ត	កម្លា-ចិត្ត
កម្លាំងចលករ	កម្លាំង-ចលករ
កម្លាំងចិត្ត	កម្លាំង-ចិត្ត
កម្លាំងធាតុ	កម្លាំង-ធាតុ
កម្លាំងនយោបាយ	កម្លាំង-នយោបាយ
កម្លាំងបាយ	កម្លាំង-បាយ
កម្លាំងពលកម្ម	កម្លាំង-ពលកម្ម
កម្លាំងលក់	កម្លាំង-លក់
កម្លាំងវេទមន្ត	កម្លាំង-វេទមន្ត
កម្លាំងអូសទាញ	កម្លាំង-អូសទាញ
កម្លាំងអេឡិចត្រូម៉ាញ៉េទិក	កម្លាំង-អេឡិចត្រូម៉ាញ៉េទិក
កម្សត់កម្រ	កម្សត់-កម្រ
កម្អែភ្នំភ្លើង	កម្អែ-ភ្នំភ្លើង
កម្អែល	កម្អែ-ល
ករជកាយ	ករជ-កាយ
ករណនាម	ករណ-នាម
ករណីយកិច្ច	ករណីយ-កិច្ច
ករុណារស	ករុណា-រស
ករុណាវិសេស	ករុណា-វិសេស
ករូណរស	ករូណ-រស
កលយុទ្ធ	កល-យុទ្ធ
កលល្បិច	កល-ល្បិច
កលហពិរោធ	កលហ-ពិរោធ
កលហភាព	កលហ-ភាព
កលឧបាយ	កល-ឧបាយ
កលិយុគ	កលិ-យុគ
កលោបាយ	ក-លោ-បាយ
កល្បព្រឹក្ស	កល្ប-ព្រឹក្ស
កល្បសព្ទ	កល្ប-សព្ទ
កល្បាវសាន	កល្បា-វ-សាន
កល្យាណកម្ម	កល្យាណ-កម្ម
កល្យាណការិនី	កល្យាណ-ការិនី
កល្យាណការី	កល្យាណ-ការី
កល្យាណមិត្ត	កល្យាណ-មិត្ត
កវីនិពន្ធ	កវី-និពន្ធ
កវីនិពន្ធន៍	កវីនិពន្ធ-ន៍
កសាងខ្លួន	កសាង-ខ្លួន
កសិកម្មគោចរ	កសិកម្ម-គោចរ
កសិកម្មចល័ត	កសិកម្ម-ចល័ត
កសិកម្មចិញ្ចឹមពោះ	កសិកម្ម-ចិញ្ចឹម-ពោះ
កសិកម្មតាមកិច្ចសន្យា	កសិកម្ម-តាម-កិច្ចសន្យា
កសិកម្មបៃតង	កសិកម្ម-បៃតង
កសិកម្មប្រពៃណី	កសិកម្ម-ប្រពៃណី
កសិកម្មព្រៃដុត	កសិកម្ម-ព្រៃ-ដុត
កសិកម្មយថាផល	កសិកម្ម-យ-ថា-ផល
កសិកម្មអតិផល	កសិកម្ម-អតិផល
កសិការ	ក-សិកា-រ
កសិការិនី	ក-សិកា-រិនី
កសិបសុកម្ម	ក-សិប-សុ-កម្ម
កស្បូន	ក-ស្បូន
កស្យាជីវកម្ម	ក-ស្យា-ជីវកម្ម
កាកគតិ	កាក-គតិ
កាកណិក	កាក-ណិក
កាកនាសូរ	កាក-នា-សូរ
កាកបាទ	កាក-បាទ
កាកបាទក្រហម	កាកបាទ-ក្រហម
កាកមនុស្ស	កាក-មនុស្ស
កាកល័ក្ដ	កាក-ល័ក្ដ
កាកសំណល់	កាក-សំណល់
កាកសំបុត្រ	កាក-សំបុត្រ
កាកអំពៅ	កាក-អំពៅ
កាក់កប	កាក់-កប
កាក់ទុក	កាក់-ទុក
កាក់ល្អិត	កាក់-ល្អិត
កាខែកកាខោក	កា-ខែក-កា-ខោក
កាងមុខ	កាង-មុខ
កាច់កុង	កាច់-កុង
កាច់ចង្កូត	កាច់-ចង្កូត
កាច់ចង្កេះ	កាច់-ចង្កេះ
កាច់ជ្រុង	កាច់-ជ្រុង
កាច់ធ្មុង	កាច់-ធ្មុង
កាច់បំបាក់	កាច់-បំបាក់
កាច់រាង	កាច់-រាង
កាច់សង្រែក	កាច់-សង្រែក
កាច់សម្ដី	កាច់-សម្ដី
កាច់ឫក	កាច់-ឫក
កាណាល់កូដសម្ងាត់	កាណាល់-កូដ-សម្ងាត់
កាណាល់ទិន្នន័យ	កាណាល់-ទិន្នន័យ
កាតពន្លឿន	កាត-ពន្លឿន
កាតព្វកិច្ច	កាតព្វ-កិច្ច
កាតអេធីអឹម	កាត-អេ-ធី-អឹម
កាតាបអំបោះ	កាតាប-អំបោះ
កាតាលីកម្ម	កា-តា-លី-កម្ម
កាតាលីករ	កា-តា-លី-ករ
កាតាឡុក	កា-តា-ឡុក
កាតឹបស៊ង	កាតឹប-ស៊ង
កាត់កង	កាត់-កង
កាត់កន្ទុយលាបកំបោរ	កាត់-កន្ទុយ-លាបកំបោរ
កាត់កាល់	កាត់-កាល់
