កករចិត្ត	កករ-ចិត្ត
រអៀករអាយ	រអៀក-រអាយ
រអេចរអូច	រអេច-រអូច
រអេតរអត	រ-អេ-ត-រអត
រអេះរអុះ	រអេះ-រអុះ
រអេៈរអុ	រអេៈ-រអុ
រអែករអោក	រអែក-រអោក
រអែតរអត	រអែត-រអត
រអែរអូវ	រអែរ-អូវ
រអ៊ិះរអ៊ុះ	រអ៊ិះ-រអ៊ុះ
រអ៊ីរអ៊ូ	រអ៊ី-រអ៊ូ
រអ៊ូរទាំ	រអ៊ូ-រទាំ
រឥលមាត់	រឥល-មាត់
រឱសឋាន	រឱស-ឋាន
រឱសថាន	រឱស-ថា-ន
រាករូស	រាក-រូស
រាក់ទាក់	រាក់-ទាក់
រាក់ធ្មេញ	រាក់-ធ្មេញ
រាក់បាត	រាក់-បាត
រាក់រយ	រាក់-រយ
រាក្រញាង	រា-ក្រញាង
រាគចរិត	រាគ-ចរិត
រាគចិត្ត	រាគ-ចិត្ត
រាគតណ្ហា	រាគ-តណ្ហា
រាគន្លង	រា-គន្លង
រាគាភិភូត	រាគា-ភិ-ភូត
រាងកាយ	រាង-កាយ
រាងកាយទ្រុឌទ្រោម	រាងកាយ-ទ្រុឌទ្រោម
រាងចាល	រាង-ចាល
រាងដូចជា	រាង-ដូចជា
រាងមិនឈ្នះរាគ	រាង-មិន-ឈ្នះ-រាគ
រាងរអា	រាង-រអា
រាជកកុធភណ្ឌ	រាជ-កកុធភណ្ឌ
រាជកញ្ញា	រាជ-កញ្ញា
រាជកន្យា	រាជ-កន្យា
រាជកម្ម	រាជ-កម្ម
រាជកវី	រាជ-កវី
រាជការ	រាជ-ការ
រាជការ្យ	រាជ-ការ្យ
រាជកិច្ច	រាជ-កិច្ច
រាជកិច្ចានុកិច្ច	រាជ-កិច្ចានុកិច្ច
រាជកីយ	រាជ-កីយ
រាជកីឡា	រាជ-កីឡា
រាជកុមារ	រាជ-កុមារ
រាជកុមារិកា	រាជ-កុមារិកា
រាជកុមារី	រាជ-កុមារី
រាជកុលដ្ឋាន	រាជ-កុលដ្ឋាន
រាជកុសល	រាជ-កុសល
រាជកោដ្ឋាគារ	រាជ-កោដ្ឋាគារ
រាជកោដ្ឋាគារិក	រាជ-កោដ្ឋាគារិក
រាជកោទណ្ឌ	រាជ-កោទណ្ឌ
រាជកៅទណ្ឌ	រាជ-កៅទណ្ឌ
រាជកំណត់	រាជ-កំណត់
រាជក្រម	រាជ-ក្រម
រាជក្រីឌា	រាជ-ក្រីឌា
រាជក្រឹត្យ	រាជ-ក្រឹត្យ
រាជខណ្ឌ	រាជ-ខណ្ឌ
រាជគំនាប់	រាជ-គំនាប់
រាជគំនាល់	រាជ-គំនាល់
រាជគ្រឹហា	រាជ-គ្រឹហា
រាជគ្រឹះ	រាជ-គ្រឹះ
រាជគ្រូ	រាជ-គ្រូ
រាជឃ្លាំង	រាជ-ឃ្លាំង
រាជង្គរក្ខ	រាជង្គ-រក្ខ
រាជឆ្ពឹស	រាជ-ឆ្ពឹស
រាជជននី	រាជ-ជននី
រាជញ្ញត្រកូល	រាជញ្ញ-ត្រកូល
រាជដំណាក់	រាជ-ដំណាក់
រាជដំណើរ	រាជ-ដំណើរ
រាជតនយា	រាជ-តនយា
រាជតន័យ	រាជ-តន័យ
រាជតម្រាស់	រាជ-តម្រាស់
រាជតម្រិះ	រាជ-តម្រិះ
រាជតាន្វិត	រាជ-តាន្វិត
រាជតេជានុភាព	រាជ-តេជានុភាព
រាជតេជះ	រាជ-តេជះ
រាជត្រកូល	រាជ-ត្រកូល
រាជទណ្ឌ	រាជ-ទណ្ឌ
រាជទាន	រាជ-ទាន
រាជទារក	រាជ-ទារក
រាជទារិកា	រាជ-ទារិកា
រាជទិន្ន	រាជ-ទិន្ន
រាជទិន្ននាម	រាជទិន្ន-នាម
រាជទូត	រាជ-ទូត
រាជទូតក្រិយា	រាជ-ទូតក្រិយា
រាជទូតានុទូត	រាជ-ទូតានុទូត
រាជទេពី	រាជ-ទេ-ពី
រាជទេយ្យ	រាជ-ទេយ្យ
រាជទេវី	រាជ-ទេវី
រាជទ្រព្យ	រាជ-ទ្រព្យ
រាជទ្រោហិន	រាជ-ទ្រោហិន
រាជទ្វារ	រាជ-ទ្វារ
រាជទ្វារបាល	រាជ-ទ្វារបាល
រាជធម៌	រាជ-ធម៌
រាជធាត្រី	រាជ-ធាត្រី
រាជធាន	រាជ-ធាន
រាជធានិក	រាជ-ធានិក
រាជធានិកា	រាជ-ធា-និ-កា
រាជធានី	រាជ-ធានី
រាជធីតា	រាជ-ធីតា
រាជធីតុបតី	រាជ-ធីតុបតី
រាជធុរា	រាជ-ធុរា
រាជធុរៈ	រាជ-ធុរៈ
រាជនត្តា	រាជ-នត្តា
រាជនារី	រាជ-នារី
រាជនាវា	រាជ-នាវា
រាជនាវិក	រាជ-នាវិក
រាជនាវិកបតី	រាជ-នាវិកបតី
រាជនាវិកាធិបតី	រាជ-នាវិកាធិបតី
រាជនិពន្ធ	រាជ-និពន្ធ
រាជនិមន្តន៍	រាជ-និមន្តន៍
រាជនិវេសន៍	រាជ-និវេសន៍
រាជនីតិ	រាជ-នីតិ
រាជនីតិវិជ្ជា	រាជនីតិ-វិជ្ជា
រាជនីតិវិទ្យា	រាជនីតិ-វិទ្យា
រាជនីតិសាស្ត្រ	រាជ-នីតិសាស្ត្រ
រាជនីតិសិក្សា	រាជនីតិ-សិក្សា
រាជនេតិ	រាជ-នេតិ
រាជន័យ	រាជ-ន័យ
រាជបក្សី	រាជ-បក្សី
រាជបញ្ជា	រាជ-បញ្ជា
រាជបណ្ឌិត	រាជ-បណ្ឌិត
រាជបណ្ឌិត្យ	រាជ-បណ្ឌិត្យ
រាជបណ្ឌិត្យសភា	រាជ-បណ្ឌិត្យសភា
រាជបណ្ឌិត្យស្ថាន	រាជបណ្ឌិត្យ-ស្ថាន
រាជបណ្ណារក្ខ	រាជ-បណ្ណារក្ខ
រាជបណ្ណារក្ស	រាជ-បណ្ណារក្ស
រាជបណ្ណាល័យ	រាជ-បណ្ណាល័យ
រាជបត្នី	រាជ-បត្នី
រាជបន្ទូល	រាជ-បន្ទូល
រាជបន្ទូលលេខា	រាជបន្ទូល-លេខា
រាជបព្វជិត	រាជ-បព្វជិត
រាជបម្រើ	រាជ-បម្រើ
រាជបរិច្ចាគ	រាជ-បរិច្ចាគ
រាជបរិពារ	រាជ-បរិពារ
រាជបរិវត្តន៍	រាជ-បរិវត្តន៍
រាជបរិវារ	រាជ-បរិវារ
រាជបរិសទ្យ	រាជ-បរិសទ្យ
រាជបរិស័ទ	រាជ-បរិស័ទ
រាជបល្ល័ង្ក	រាជ-បល្ល័ង្ក
រាជបិតា	រាជ-បិតា
រាជបុត្រ	រាជ-បុត្រ
រាជបុត្រា	រាជ-បុត្រា
រាជបុត្រី	រាជ-បុត្រី
រាជបុរស	រាជ-បុរស
រាជបុរី	រាជ-បុរី
រាជបុរោហិត	រាជ-បុរោហិត
រាជបំណង	រាជ-បំណង
រាជបំណន់	រាជ-បំណន់
រាជប្បវេណី	រាជ-ប្ប-វេណី
រាជប្រកាស	រាជ-ប្រកាស
រាជប្រពៃណី	រាជ-ប្រពៃណី
រាជប្រវត្តិ	រាជ-ប្រវត្តិ
រាជពង្សាវតារ	រាជ-ពង្សាវតារ
រាជពន្ធុ	រាជ-ពន្ធុ
រាជពលានុភាព	រាជ-ពលានុភាព
រាជពលី	រាជ-ពលី
រាជពាហនៈ	រាជ-ពាហនៈ
រាជពិធី	រាជ-ពិធី
រាជព្រឹក្ស	រាជ-ព្រឹក្ស
រាជព្រឹត្តិ	រាជ-ព្រឹត្តិ
រាជភក្ដី	រាជ-ភក្ដី
រាជភគិនី	រាជ-ភគិនី
រាជភណ្ឌ	រាជ-ភណ្ឌ
រាជភណ្ឌាគារ	រាជ-ភណ្ឌាគារ
រាជភាគិនេយ្យ	រាជ-ភាគិនេយ្យ
រាជភាគិនេយ្យា	រាជ-ភាគិនេយ្យា
រាជភាតា	រាជ-ភាតា
រាជភូត	រាជ-ភូត
រាជភោគ្គ	រាជ-ភោគ្គ
រាជភោជន	រាជ-ភោជន
រាជភ័យ	រាជ-ភ័យ
រាជភ្រឹត	រាជ-ភ្រឹត
រាជភ្រឹត្យ	រាជ-ភ្រឹត្យ
រាជមន្ត	រាជ-មន្ត
រាជមន្ត្រ	រាជ-មន្ត្រ
រាជមន្ត្រី	រាជ-មន្ត្រី
រាជមន្ទីរ	រាជ-មន្ទីរ
រាជមហាមាត្យ	រាជ-មហាមាត្យ
រាជមហេសី	រាជ-មហេសី
រាជមាគា៌	រាជ-មាគា៌
រាជមាតា	រាជ-មាតា
រាជមាលកៈ	រាជ-មាលកៈ
រាជមាល័ក	រាជ-មាល័ក
រាជមិត្ត	រាជ-មិត្ត
រាជមិត្រ	រាជ-មិត្រ
រាជមុទ្ទា	រាជ-មុទ្ទា
រាជមុទ្ទិកា	រាជ-មុទ្ទិកា
រាជមុទ្ធាភិសេក	រាជ-មុទ្ធាភិសេក
រាជមុទ្រា	រាជ-មុទ្រា
រាជមុទ្រិកា	រាជ-មុទ្រិកា
រាជមេត្រី	រាជ-មេត្រី
រាជយាន	រាជ-យាន
រាជយុទ្ធ	រាជ-យុទ្ធ
រាជយោសិត	រាជ-យោសិត
រាជរក្ខ	រាជ-រក្ខ
រាជរក្ស	រាជ-រក្ស
រាជរង្គ	រាជ-រង្គ
រាជរដ្ឋាភិបាល	រាជ-រដ្ឋាភិបាល
រាជរថាធិបតី	រាជ-រថាធិបតី
រាជរាក្ស័ស	រាជ-រាក្ស័ស
រាជរាជ	រាជ-រាជ
រាជរោង	រាជ-រោង
រាជលក្ខណៈ	រាជ-លក្ខណៈ
រាជលក្សណៈ	រាជ-លក្សណៈ
រាជលក្ស្មី	រាជ-លក្ស្មី
រាជលក្ស្ម័ន	រាជ-លក្ស្ម័ន
រាជលញ្ឆករ	រាជ-លញ្ឆករ
រាជលិខិត	រាជ-លិខិត
រាជលីឡ្ហា	រាជ-លីឡ្ហា
រាជលេខា	រាជ-លេខា
រាជលេខាធិការ	រាជ-លេខាធិការ
រាជលេខានុការ	រាជ-លេខានុការ
រាជវង្ស	រាជ-វង្ស
រាជវង្សានុវង្ស	រាជ-វង្សានុវង្ស
រាជវាហនៈ	រាជ-វាហនៈ
រាជវាហី	រាជ-វាហី
រាជវាំង	រាជ-វាំង
រាជវេស្ម័ន	រាជ-វេស្ម័ន
រាជវ័ង	រាជ-វ័ង
រាជវ័តិ	រាជ-វ័តិ
រាជសក្ដិ	រាជ-សក្ដិ
រាជសខា	រាជ-សខា
រាជសត្រ	រាជ-សត្រ
រាជសទ្ធា	រាជ-សទ្ធា
រាជសទ្ម័ន	រាជ-សទ្ម័ន
រាជសព្ទ	រាជ-សព្ទ
រាជសភា	រាជ-សភា
រាជសម្នាក់	រាជ-សម្នាក់
រាជសម្បត្តិ	រាជ-សម្បត្តិ
រាជសម្ពន្ធ	រាជ-សម្ពន្ធ
រាជសម្ពន្ធមិត្ត	រាជ-សម្ពន្ធមិត្ត
រាជសម្ពន្ធមិត្រ	រាជ-សម្ពន្ធមិត្រ
រាជសម្ពន្ធមេត្រី	រាជ-សម្ពន្ធមេត្រី
រាជសម្ព័ន្ធ	រាជ-សម្ព័ន្ធ
រាជសម្ភារ	រាជ-សម្ភារ
រាជសវនីយ៍	រាជ-សវនីយ៍
រាជសវនីយ៍លេខា	រាជ-សវនីយ៍លេខា
រាជសារថី	រាជ-សារថី
រាជសាសន៍	រាជ-សាសន៍
រាជសាស្ត្រ	រាជ-សាស្ត្រ
រាជសិង្ហ	រាជ-សិង្ហ
រាជសិរី	រាជ-សិរី
រាជសីហ៍	រាជ-សីហ៍
រាជសឹង្ហ	រាជ-សឹង្ហ
រាជសុណិសា	រាជ-សុណិសា
រាជសុណ្ហា	រាជ-សុណ្ហា
រាជសុនក	រាជ-សុនក
រាជសុនខ	រាជ-សុនខ
រាជសុនខី	រាជ-សុនខី
រាជសុនី	រាជ-សុនី
រាជសេនា	រាជ-សេនា
រាជសេនាមាត្យ	រាជ-សេនាមាត្យ
រាជសេវកាមាត្យ	រាជ-សេវកាមាត្យ
រាជសេវកៈ	រាជ-សេវកៈ
រាជសេវ័ក	រាជ-សេវ័ក
រាជសៅវនីយ៍	រាជ-សៅវនីយ៍
រាជសៅវនីយ៍លេខា	រាជសៅវនីយ៍-លេខា
រាជសំណាក់	រាជ-សំណាក់
រាជស័ក្ដិ	រាជ-ស័ក្ដិ
រាជស្រឹង្គារ	រាជ-ស្រឹង្គារ
រាជហង្ស	រាជ-ហង្ស
រាជហត្ថលេខា	រាជ-ហត្ថលេខា
រាជហទ័យ	រាជ-ហទ័យ
រាជហឫទ័យ	រាជ-ហឫទ័យ
រាជអមាត្យ	រាជ-អមាត្យ
រាជអាជ្ញា	រាជ-អាជ្ញា
រាជអាណាចក្រ	រាជ-អាណាចក្រ
រាជអំណរ	រាជ-អំណរ
រាជអំណោយ	រាជ-អំណោយ
រាជឫទ្ធានុភាព	រាជ-ឫទ្ធានុភាព
រាជឫទ្ធិ	រាជ-ឫទ្ធិ
រាជឫសី	រាជ-ឫសី
រាជឱង្ការ	រាជ-ឱង្ការ
រាជឱរស	រាជ-ឱរស
រាជាគណៈ	រាជា-គណៈ
រាជាណាចក្រ	រាជា-ណា-ចក្រ
រាជាធិការិកា	រាជាធិ-ការិកា
រាជាធិការិនី	រាជាធិ-ការិនី
រាជាធិការី	រាជាធិ-ការី
រាជាធិក្រឹតា	រាជាធិ-ក្រឹតា
រាជាធិបតី	រាជា-ធិបតី
រាជាធិបតេយ្យ	រាជា-ធិប-តេយ្យ
រាជាធិរាជ	រាជា-ធិរាជ
រាជានិយម	រាជា-និយម
រាជានុជិត	រាជានុ-ជិត
រាជានុភាព	រាជានុ-ភាព
រាជាភិសេក	រាជា-ភិសេក
រាជាមាត្យ	រាជា-មាត្យ
រាជាយតនចេតិយ	រាជាយតន-ចេតិយ
រាជាយតនៈ	រាជា-យតនៈ
រាជាយស្ម័យយាន	រាជាយស្ម័យ-យាន
រាជាយុត្តកសភា	រាជាយុត្តក-សភា
រាជាយុត្តកាធិបតី	រាជា-យុត្ត-កា-ធិបតី
រាជាយុត្តកៈ	រាជា-យុត្ត-កៈ
រាជាវលី	រាជា-វលី
រាជាសនៈ	រាជា-ស-នៈ
រាជិនី	រាជិ-នី
រាជិនីកូល	រាជិនី-កូល
រាជិនីត្រកូល	រាជិនី-ត្រកូល
រាជិសី	រាជិ-សី
រាជូបករណ៍	រាជូ-ប-ករណ៍
រាជូបដ្ឋាន	រាជូ-ប-ដ្ឋាន
រាជូបភោគ	រាជូ-ប-ភោគ
រាជោបករណ៍	រាជោ-ប-ករណ៍
រាជោបដ្ឋាន	រាជោ-ប-ដ្ឋាន
រាជោបភោគ	រាជោ-ប-ភោគ
រាជោវាទ	រាជោ-វាទ
រាជ្យខណ្ឌ	រាជ្យ-ខណ្ឌ
រាជ្យទ្រព្យ	រាជ្យ-ទ្រព្យ
រាជ្យភង្គ	រាជ្យ-ភង្គ
រាជ្យសម្បត្តិ	រាជ្យ-សម្បត្តិ
រាដំណើរ	រា-ដំណើរ
រាតត្បាត	រាត-ត្បាត
រាតម្បាញ	រា-តម្បាញ
រាត់រាយ	រាត់-រាយ
រាត្រី	រា-ត្រី
រាត្រីកាល	រាត្រី-កាល
រាត្រីចរ	រាត្រី-ចរ
រាត្រីជល	រាត្រី-ជល
រាត្រីភាគ	រាត្រី-ភាគ
រាត្រីមណី	រាត្រី-មណី
រាត្រីវិគម	រាត្រី-វិគម
រាត្រីសមោសរ	រាត្រី-សមោសរ
រាត្រីសុវត្ថិ!	រាត្រី-សុវត្ថិ-!
រាត្រីសួស្ដី!	រាត្រីសួស្ដី-!
រានកាន	រាន-កាន
រានទន្ទ្រាន	រាន-ទន្ទ្រាន
រានព្រៃ	រាន-ព្រៃ
រានភ្លើង	រាន-ភ្លើង
រានមាន់	រាន-មាន់
រានហាល	រាន-ហាល
រាបទាប	រាប-ទាប
រាបធេង	រាប-ធេង
រាបស្មើ	រាប-ស្មើ
រាប់បាត្រ	រាប់-បាត្រ
រាប់មុខ	រាប់-មុខ
រាប់រក	រាប់-រក
រាប់រៀប	រាប់-រៀប
រាប់លុយ	រាប់-លុយ
រាប់អាន	រាប់-អាន
រាប់អានយ៉ាងស្បើយ	រាប់អាន-យ៉ាង-ស្បើយ
រាផ្លូវរាដំណើរ	រា-ផ្លូវ-រាដំណើរ
រាមកិរ្តិ៍	រាម-កិរ្តិ៍
រាមកេរ្តិ៍	រាម-កេរ្តិ៍
រាមចន្ទ្រ	រាម-ចន្ទ្រ
រាមញ្ញប្រទេស	រាមញ្ញ-ប្រទេស
រាមណេយ្យ—	រាមណេយ្យ-—
រាមភូមិ	រាម-ភូមិ
រាមរាជ្យ	រាម-រាជ្យ
រាមសូរ	រាម-សូរ
រាមាយណ	រាមា-យ-ណ
រាមាយណិក	រាមា-យ-ណិក
រាយការណ៍	រាយ-ការណ៍
រាយង៉ាន	រាយ-ង៉ាន
រាយប៉ាយ	រាយ-ប៉ាយ
រាយពពាយ	រាយ-ពពាយ
រាយមន្ត	រាយ-មន្ត
រាយមាយ	រាយ-មាយ
រាយរាប់	រាយ-រាប់
រាយសន្ទូច	រាយ-សន្ទូច
រារាំង	រា-រាំង
រាលដាល	រាល-ដាល
រាល់អន្លើ	រាល់-អន្លើ
រាសិចក្រ	រាសិ-ចក្រ
រាសីចក្រ	រាសី-ចក្រ
រាស្ត្រទាស	រាស្ត្រ-ទាស
រាស្ត្រប្រជា	រាស្ត្រ-ប្រជា
រាហុគ្រ័ស្ត	រាហុ-គ្រ័ស្ត
រាហុមុខ	រាហុ-មុខ
រាហុលមាតា	រាហុល-មាតា
រាហុសត្រូវ	រាហុ-សត្រូវ
រាហុអសុរិន្ទ	រាហុ-អសុរិន្ទ
រាំកណ្ដូបសេះ	រាំ-កណ្ដូបសេះ
រាំក្បាច់	រាំ-ក្បាច់
រាំងខែ	រាំង-ខែ
រាំងគន្លង	រាំង-គន្លង
រាំងជល	រាំង-ជល
រាំងដំណើរ	រាំង-ដំណើរ
រាំងថ្ងៃខែ	រាំង-ថ្ងៃខែ
រាំងភ្លៀង	រាំង-ភ្លៀង
រាំងមុខ	រាំង-មុខ
រាំងរដូវ	រាំង-រដូវ
រាំងរា	រាំង-រា
រាំងរឹះ	រាំង-រឹះ
រាំងសាប	រាំង-សាប
រាំងស្ងួត	រាំង-ស្ងួត
រាំងស្ទះ	រាំង-ស្ទះ
រាំចាក់ត្លុក	រាំ-ចាក់ត្លុក
រាំច្រៀង	រាំ-ច្រៀង
រាំរៀល	រាំ-រៀល
រាំរែក	រាំ-រែក
រាំវង់	រាំ-វង់
រិត្តភាព	រិត្ត-ភាព
រិះគន់	រិះ-គន់
រិះគិត	រិះ-គិត
រីកចម្រើន	រីក-ចម្រើន
រីកចិត្ត	រីក-ចិត្ត
រីកថ្លើម	រីក-ថ្លើម
រីកមុខ	រីក-មុខ
រីករាយ	រីក-រាយ
រីងស្ងួត	រីង-ស្ងួត
រឹងខ្លួន	រឹង-ខ្លួន
រឹងឆ្កឺត	រឹង-ឆ្កឺត
រឹងដូចសាក្យ	រឹង-ដូច-សាក្យ
រឹងត្អឹង	រឹង-ត្អឹង
រឹងទទឹង	រឹង-ទទឹង
រឹងប៉ឹង	រឹង-ប៉ឹង
រឹងមាត់	រឹង-មាត់
រឹងមើលតែសាក្យ	រឹង-មើលតែ-សាក្យ
រឹងរឹត	រឹង-រឹត
រឹងរឹតតែ	រឹងរឹត-តែ
រឹងរូស	រឹង-រូស
រឹតខ្សែអុកពាក់ខ្សែហាង	រឹតខ្សែ-អុក-ពាក់-ខ្សែហាង
រឹតតែរឹត	រឹតតែ-រឹត
រឹតត្បិត	រឹត-ត្បិត
រឹតរួត	រឹត-រួត
រឹទ្ធិ	រឹ-ទ្ធិ
រឹបជាន់	រឹប-ជាន់
រឹបអូស	រឹប-អូស
រឹលរេច	រឹល-រេច
រឹស្យា	រឹ-ស្យា
រុកកួន	រុក-កួន
រុករាន	រុក-រាន
រុក្ខចេតិយ	រុក្ខ-ចេតិយ
រុក្ខជាតិ	រុក្ខ-ជាតិ
រុក្ខជាតិឱសថ	រុក្ខជាតិ-ឱសថ
រុក្ខទិវា	រុក្ខ-ទិវា
រុក្ខទេវតា	រុក្ខ-ទេវតា
រុក្ខបាល	រុក្ខ-បាល
រុក្ខប្បទេស	រុក្ខ-ប្ប-ទេស
រុក្ខផល	រុក្ខ-ផល
រុក្ខផលាផល	រុក្ខ-ផលាផល
រុក្ខមូល	រុក្ខ-មូល
រុក្ខមូលិក	រុក្ខ-មូលិក
រុក្ខរស	រុក្ខ-រស
រុក្ខរំពា	រុក្ខ-រំពា
រុក្ខវប្បកម្ម	រុក្ខ-វប្បកម្ម
រុក្ខវប្បករ	រុក្ខ-វប្បករ
រុក្ខវិថី	រុក្ខ-វិថី
រុក្ខវិទូ	រុក្ខ-វិទូ
រុក្ខវិទ្យា	រុក្ខ-វិទ្យា
រុក្ខសាខា	រុក្ខ-សាខា
រុក្ខសាស្ត្រ	រុក្ខ-សាស្ត្រ
រុក្ខារក្ស	រុក្ខា-រក្ស
រុក្ខាវយវៈ	រុក្ខា-វយ-វៈ
រុក្ខាស័យ	រុក្ខា-ស័យ
រុក្ខ—	រុក្ខ-—
រុងរាំង	រុង-រាំង
រុងរឿង	រុង-រឿង
រុងរោចន៍	រុង-រោចន៍
រុចិរបុប្ផា	រុចិរ-បុប្ផា
រុចិរបុស្ប	រុចិរ-បុស្ប
រុចិរព័ណ៌	រុចិរ-ព័ណ៌
រុចិរភាសា	រុចិរ-ភាសា
រុចិរវណ្ណ	រុចិរ-វណ្ណ
រុចិរវាចា	រុចិរ-វាចា
រុចិរសព្ទ	រុចិរ-សព្ទ
រុចិរាភា	រុ-ចិ-រា-ភា
រុចិរោភាស	រុ-ចិ-រោ-ភាស
រុច្ចនកម្ម	រុច្ចន-កម្ម
រុច្ចនដ្ឋាន	រុច្ចន-ដ្ឋាន
រុច្ចនភាព	រុច្ចន-ភាព
រុច្ចនាការ	រុ-ច្ច-នា-ការ
រុច្ចនៈ	រុ-ច្ច-នៈ
រុញច្រាន	រុញ-ច្រាន
រុញសម្ដី	រុញ-សម្ដី
រុញអង្រែ	រុញ-អង្រែ
រុណ្ណការណ៍	រុណ្ណ-ការណ៍
រុណ្ណភាព	រុណ្ណ-ភាព
រុណ្ណ—	រុណ្ណ-—
រុំកោះ	រុំ-កោះ
រុំបុគ្គល	រុំ-បុគ្គល
រុំសុំ	រុំ-សុំ
រុះរោយ	រុះ-រោយ
រូងរាម	រូង-រាម
រូបកល្យាណ	រូប-កល្យាណ
រូបកាយ	រូប-កាយ
រូបការ	រូប-ការ
រូបការក៍	រូប-កា-រក៍
រូបការិកា	រូប-ការិកា
រូបការិនី	រូប-ការិនី
រូបការី	រូប-ការី
រូបគុណ	រូប-គុណ
រូបឆោម	រូប-ឆោម
រូបឆោមលោមព័ណ៌	រូបឆោម-លោមព័ណ៌
រូបជីវិនី	រូប-ជីវិនី
រូបជ្ឈាន	រូប-ជ្ឈាន
រូបតាង	រូប-តាង
រូបតំណាង	រូប-តំណាង
រូបធម៌	រូប-ធម៌
រូបធាតុ	រូប-ធាតុ
រូបធាតុនិយម	រូបធាតុ-និយម
រូបនាម	រូប-នាម
រូបបរិវត្ត	រូប-បរិវត្ត
រូបបរិវត្តន៍	រូប-បរិវត្តន៍
រូបបាជីវា	រូប-បា-ជីវា
រូបបំព្រួញ	រូប-បំព្រួញ
រូបផ័ន	រូប-ផ័ន
រូបព័ណ៌	រូប-ព័ណ៌
រូបព្រហ្ម	រូប-ព្រហ្ម
រូបភាព	រូប-ភាព
រូបមន្ត	រូប-មន្ត
រូបមន្តគីមី	រូបមន្ត-គីមី
រូបរាង	រូប-រាង
រូបវន្ត	រូប-វន្ត
រូបវន្តបុគ្គល	រូបវន្ត-បុគ្គល
រូបវិទ្យា	រូប-វិទ្យា
រូបវិទ្យាទំនើប	រូបវិទ្យា-ទំនើប
រូបវិទ្យាទ្រឹស្ដី	រូបវិទ្យា-ទ្រឹស្ដី
រូបវិបរិយាយ	រូប-វិបរិយាយ
រូបវិបរ្យាយ	រូប-វិបរ្យាយ
រូបសណ្ឋាន	រូប-សណ្ឋាន
រូបសព្ទ	រូប-សព្ទ
រូបសព្ទវិទ្យា	រូបសព្ទ-វិទ្យា
រូបសម្បទា	រូប-សម្បទា
រូបសម្បន្ន	រូប-សម្បន្ន
រូបសម្ប័ទ	រូប-សម្ប័ទ
រូបសាក	រូប-សាក
រូបសាស្ត្រ	រូប-សាស្ត្រ
រូបសាស្ត្រផែនដី	រូបសាស្ត្រ-ផែនដី
រូបសិទ្ធិ	រូប-សិទ្ធិ
រូបសំណាក	រូប-សំណាក
រូបស្បាត	រូប-ស្បាត
រូបអារក្ស	រូប-អារក្ស
រូបាជីព	រូបា-ជីព
រូបាជីវា	រូបា-ជីវា
រូបារម្មណ៍សិល្បៈ	រូបារម្មណ៍-សិល្បៈ
រូបាវចរ	រូបា-វ-ចរ
រូបាវចរភូមិ	រូបាវចរ-ភូមិ
រូបិនី	រូ-បិ-នី
រូបិយបដិភោគី	រូបិយ-បដិ-ភោគី
រូបិយប័ណ្ណ	រូបិយ-ប័ណ្ណ
រូបិយប្រភព	រូបិយ-ប្រភព
រូបិយម័យ	រូបិយ-ម័យ
រូបិយវត្ថុ	រូបិយ-វត្ថុ
រូបិយវត្ថុយាន	រូបិយវត្ថុ-យាន
រូបិយវិការ	រូបិយ-វិការ
រូបិយសម្ភព	រូបិយ-សម្ភព
រូបិយសំវោហារ	រូបិយ-សំវោហារ
រូបិយាណត្តិ	រូ-បិ-យា-ណ-ត្តិ
រូបូបជិវិនី	រូបូប-ជិ-វិ-នី
រូសនាយរូសអាយ	រូស-នាយ-រូស-អាយ
រួចពីដៃ	រួចពី-ដៃ
រួចពីទុក្ខ	រួចពី-ទុក្ខ
រួចរាល់	រួច-រាល់
រួញចិត្ត	រួញ-ចិត្ត
រួតរឹត	រួត-រឹត
រួបរឹត	រួប-រឹត
រួបរួម	រួប-រួម
រួមគំនិត	រួម-គំនិត
រួមចិត្ត	រួម-ចិត្ត
រួមដៃគ្នា	រួមដៃ-គ្នា
រួមដំណេក	រួម-ដំណេក
រួមដំណេកបង្គុយ	រួមដំណេក-បង្គុយ
រួមបវេណី	រួម-បវេណី
រួមភេទ	រួម-ភេទ
រួមរក្ស	រួម-រក្ស
រួមរក្សា	រួម-រក្សា
រួមរ័ក	រួម-រ័ក
រួមសុខទុក្ខ	រួម-សុខទុក្ខ
រួមសំវាស	រួម-សំវាស
រួមស្នេហា	រួម-ស្នេហា
រួយមាត់	រួយ-មាត់
រួសមាត់	រួស-មាត់
រួសមាត់រួសក	រួសមាត់រួស-ក
រួសរាន់	រួស-រាន់
រួសរាយ	រួស-រាយ
រួសរ៉ា	រួស-រ៉ា
រួសរ៉ាវ	រួសរ៉ា-វ
រើខ្លួន	រើ-ខ្លួន
រើបង្គុយ	រើ-បង្គុយ
រើបន្ទុក	រើ-បន្ទុក
រើបម្រាស	រើ-បម្រាស
រើសត្អើស	រើស-ត្អើស
រើសមុខ	រើស-មុខ
រើសអើង	រើស-អើង
រឿងតេជ	រឿង-តេជ
រឿងតេជះ	រឿង-តេជះ
រឿងតំណាល	រឿង-តំណាល
រឿងនិទាន	រឿង-និទាន
រឿងបុរាណ	រឿង-បុរាណ
រឿងប្រដិដ្ឋ	រឿង-ប្រដិដ្ឋ
រឿងប្រតិដ្ឋ	រឿង-ប្រតិដ្ឋ
