word	status	source	decision	note
កម្មការនី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្មវចាចារ្យ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្មវចៈ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រតែ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រើប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រេប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រែង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្រោល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កម្លៅចិត្ត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ករណនិយម	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ករណីនេះ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
ករីស	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កលា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កលាប	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កអាវ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាកអំំពៅ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាកាប	approved	reviewed	standard	no Chuon definition; legacy word
កាកែល	approved	reviewed	standard	no Chuon definition; legacy word
កាចកោង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាចូន	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាចៅ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាច់ក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាច់កែ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាច់កៃ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាឆាយ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាណោ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាតារ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាតូត	approved	unknown	standard	no Chuon definition; legacy word
កាតែល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាត់កាល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាត់ចិត្ត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាត់ត	approved	reviewed	standard	no Chuon definition; legacy word
កាត់ស៊ី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាថា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាទឹក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កានព្លូ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាន់សាសន៍	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាន់សិល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាបូ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាបួ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាប៉ា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាប៉ិកកាប៉ុក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាប៉ុក	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាប៉ូ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាប៉ូរ៉ាល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាប៊ី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាប៊ុង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាប៊ុល	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាពិជៅ	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាមរតី	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាមា	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាមីញ៉ុង	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាមេរ៉ូន	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាម៉ែត	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
កាយពន្ធន៉	approved	sbbic-khmer-wordlist	standard	no Chuon definition; legacy word
